Observation ID,Frequency,Width,Amplitude
1130360131,6.785,0.2251936357937923,0.13813656259472182
1130360135,6.858,0.1415015571024828,0.2580539374163297
1130360135,6.858,0.14162840902066484,0.2579437163572727
1130360182,4.421,1.0892006854927605,0.08722138540883206
1130360191,10.000,0.46184093660601977,1.2675805904992281e-16
1130360201,4.286,1.229164024068485,0.22194892172143474
1130360208,4.706,0.10354354032027928,0.4556429516303209
1130360208,4.706,0.10352712039982198,0.45568931724593814
1130360218,4.117,0.1216711794162656,0.6281067650079198
1130360223,5.436,0.1363773115824938,0.5250645915671001
1130360223,5.436,0.1363517406463103,0.5251056350781003
1130360226,4.384,0.17119483147064404,0.25083822401163364
1130360242,4.547,0.142405029402879,0.6083266420347931
1130360242,4.547,0.1423889737388245,0.6083550934116297
1130360257,4.680,0.1608352954127646,0.47305758079557614
1130360257,5.287,1.7485043820924993,0.18257289020826586
1130360259,5.551,0.12974478563402878,0.6506881968147095
1130360259,5.551,0.12959238545302929,0.6510425113357716
1130360259,5.551,0.12975381875735895,0.6506670211065994
1130360259,6.832,0.28288184214107837,0.5818578676948903
1130360285,5.778,0.15462255419968715,0.20961529771216533
1130360112,4.586,1.3038394298158464,7.8822479734423405
1130360112,4.586,1.3038209963308476,7.882269238028346
1130360112,4.586,1.3038372845858999,7.882250356532236
1130360112,4.586,1.3038304816094803,7.8822582442288
1130360112,4.586,1.3038246884710765,7.882264961296324
1130360117,5.535,0.473198199561857,0.18369859976657069
1130360117,6.237,0.1315985449167304,0.2002159007604644
1130360120,4.605,0.10231951540127564,0.17682920494622154
1130360120,4.605,0.1022607046209529,0.17689246585406251
1130360134,4.000,0.24082888648925327,6.669819908859548e-18
1130360142,4.000,1.2515786442737704,0.7071246863778157
1130360157,4.502,0.10031876724416262,0.23752561570783173
1130360158,6.494,0.13004112147624147,0.3903240657631767
1130360163,4.502,0.09094297350193718,0.10644799428118873
1130360163,4.846,0.1168407729278843,0.22809663102510316
1130360171,7.738,1.4196601237925237,0.1015896491607201
1130360175,7.237,0.19473788000937886,0.3221692256915744
1130360175,7.237,0.19469926373274185,0.3221977798673733
1130360177,5.100,0.41089718966362987,0.2493621874775534
1130360194,6.792,0.17404335670941073,0.32395649630832807
1130360206,4.951,0.10016212878893466,0.42892744334618077
1130360207,4.835,0.29084502371726056,0.19006536646357533
1130360207,6.590,0.13799454265427993,0.33186693753574814
1130360228,4.495,0.12398152809084152,0.25430203536908286
1130360230,4.679,0.2218917915796282,0.6799187266139733
1130360230,4.679,0.22188957180545668,0.6799217344901447
1130360230,5.646,0.18138539547751584,0.4513237811238587
1130360230,4.752,2.3169770209807443,0.26723449241566494
1130360246,4.184,0.15905643216645488,0.8427114968286151
1130360249,4.764,0.3534207959932515,0.3790308489859147
1130360274,4.464,0.15534397293474422,0.3972321829014682
